lead_time,arrival_date_week_number,stays_in_weekend_nights,stays_in_week_nights,adults,children,meal,country,market_segment,distribution_channel,previous_cancellations,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status_date,full_date,arrival_date,is_canceled
342,27,0,0,2,0,1,135,3,1,0,2,2,3,0,0,2,0.0,0,0,8,0,0,0
737,27,0,0,2,0,1,135,3,1,0,2,2,4,0,0,2,0.0,0,0,8,0,0,0
7,27,0,1,1,0,1,59,3,1,0,0,2,0,0,0,2,75.0,0,0,8,0,0,0
13,27,0,1,1,0,1,59,2,3,0,0,0,0,0,304,2,75.0,0,0,8,0,0,0
14,27,0,2,2,0,1,59,6,2,0,0,0,0,0,240,2,98.0,0,1,8,0,0,0
14,27,0,2,2,0,1,59,6,2,0,0,0,0,0,240,2,98.0,0,1,8,0,0,0
0,27,0,2,2,0,1,135,3,1,0,2,2,0,0,0,2,107.0,0,0,8,0,0,0
9,27,0,2,2,0,3,135,3,1,0,2,2,0,0,303,2,103.0,0,1,8,0,0,0
85,27,0,3,2,0,1,135,6,2,0,0,0,0,0,240,2,82.0,0,1,6,0,0,1
75,27,0,3,2,0,2,135,5,2,0,3,3,0,0,15,2,105.5,0,0,5,0,0,1
23,27,0,4,2,0,1,135,6,2,0,4,4,0,0,240,2,123.0,0,0,7,0,0,1
35,27,0,4,2,0,2,135,6,2,0,3,3,0,0,240,2,145.0,0,0,8,0,0,0
68,27,0,4,2,0,1,169,6,2,0,3,4,0,0,240,2,97.0,0,3,8,0,0,0
18,27,0,4,2,1,2,51,6,2,0,6,6,1,0,241,2,154.77,0,1,8,0,0,0
37,27,0,4,2,0,1,135,6,2,0,4,4,0,0,241,2,94.71,0,0,8,0,0,0
68,27,0,4,2,0,1,76,6,2,0,3,4,0,0,240,2,97.0,0,3,8,0,0,0
37,27,0,4,2,0,1,135,5,2,0,4,4,0,0,8,0,97.5,0,0,8,0,0,0
12,27,0,1,2,0,1,76,6,2,0,0,4,0,0,240,2,88.2,0,0,8,0,0,0
0,27,0,1,2,0,1,56,2,3,0,0,6,0,0,0,2,107.42,0,0,8,0,0,0
7,27,0,4,2,0,1,59,3,1,0,6,6,0,0,250,2,153.0,0,1,8,0,0,0
37,27,1,4,1,0,1,59,6,2,0,5,5,0,0,241,2,97.29,0,1,8,0,0,0
72,27,2,4,2,0,1,135,3,1,0,0,0,1,0,250,2,84.67,0,1,8,0,0,0
72,27,2,4,2,0,1,135,3,1,0,0,0,1,0,250,2,84.67,0,1,8,0,0,0
72,27,2,4,2,0,1,135,3,1,0,3,3,1,0,250,2,99.67,0,1,8,0,0,0
127,27,2,5,2,0,2,59,5,2,0,3,8,0,0,115,0,94.95,0,1,8,0,0,0
78,27,2,5,2,0,1,135,5,2,0,3,3,0,0,5,2,63.6,1,0,8,0,0,0
48,27,2,5,2,0,1,76,5,2,0,3,3,0,0,8,0,79.5,0,0,8,0,0,0
60,27,2,5,2,0,1,135,6,2,0,4,4,0,0,240,2,107.0,0,2,6,0,0,1
77,27,2,5,2,0,1,135,6,2,0,0,0,0,0,240,2,94.0,0,0,8,0,0,0
99,27,2,5,2,0,1,135,6,2,0,3,3,0,0,240,2,87.3,1,1,8,0,0,0
95,27,4,11,2,0,1,59,5,2,0,3,3,0,0,241,2,63.86,0,0,8,0,0,0
96,27,2,8,2,0,1,135,3,1,0,4,4,0,0,0,2,108.3,0,2,6,0,0,1
69,27,2,4,2,0,1,76,5,2,0,0,2,0,0,175,2,65.5,0,0,8,0,0,0
45,27,1,3,3,0,1,135,6,2,0,3,3,0,0,241,2,108.8,0,1,6,0,0,1
40,27,1,3,3,0,1,135,6,2,0,3,3,0,0,241,2,108.8,0,1,7,0,0,1
15,27,1,3,2,0,1,51,6,2,0,0,2,0,0,240,2,98.0,0,0,8,0,0,0
36,27,1,3,3,0,1,135,6,2,0,3,3,0,0,241,2,108.8,0,1,8,0,0,0
43,27,1,3,3,0,1,135,6,2,0,3,3,0,0,241,2,108.8,0,0,6,0,0,1
70,27,2,3,2,0,2,139,3,1,0,4,4,0,0,250,2,137.0,0,1,8,0,0,0
45,27,2,3,2,0,1,135,6,2,0,6,6,0,0,241,2,117.81,0,0,6,0,0,1
45,27,2,3,2,0,1,76,5,2,0,3,3,0,0,8,0,79.5,0,0,8,0,0,0
16,27,2,3,2,0,1,51,3,1,0,5,5,0,0,0,2,123.0,0,0,8,0,0,0
70,27,2,3,2,0,2,139,3,1,0,4,4,0,0,250,2,137.0,0,1,8,0,0,0
107,27,2,5,2,0,1,135,6,2,0,0,0,0,0,240,2,110.7,0,2,8,0,0,0
47,27,2,5,2,2,1,135,6,2,0,6,6,0,0,240,2,153.0,0,0,7,0,0,1
96,27,2,5,2,0,1,51,5,2,0,0,0,0,0,134,2,58.95,0,1,8,0,0,0
113,27,2,5,2,0,1,124,5,2,0,4,4,0,0,156,3,82.88,0,2,8,0,0,0
90,27,2,5,2,0,2,59,5,2,0,0,1,1,0,243,0,82.35,0,0,8,0,0,0
50,27,2,5,2,0,2,76,6,2,0,4,5,1,0,241,2,119.35,0,1,8,0,0,0
113,27,2,5,2,0,1,124,5,2,0,3,3,0,0,156,3,67.58,0,2,8,0,0,0
93,27,3,8,2,0,1,76,5,2,0,0,0,0,0,156,0,56.01,0,0,8,0,0,0
76,27,4,10,2,0,1,127,5,2,0,3,3,0,0,243,0,110.7,0,0,8,0,0,0
3,27,0,1,2,0,1,51,6,2,0,0,2,0,0,240,2,88.2,1,0,8,0,0,0
1,27,0,1,2,0,1,6,6,2,0,7,7,0,0,240,2,147.0,1,0,8,0,0,0
1,27,0,1,2,2,1,51,3,1,0,2,2,0,0,0,2,107.0,1,2,8,0,0,0
0,27,0,1,2,0,1,135,3,1,0,7,7,0,0,0,2,147.0,0,0,8,0,0,0
0,27,0,1,2,0,1,135,6,2,0,0,3,0,0,240,2,117.9,0,2,8,0,0,0
0,27,0,1,2,0,1,135,3,1,0,6,6,0,0,0,2,123.0,0,0,8,0,0,0
14,27,0,2,2,0,1,169,6,2,0,0,2,0,0,242,2,98.0,0,1,8,0,0,0
10,27,0,2,2,0,1,135,6,2,0,6,6,0,0,241,2,117.81,0,0,8,0,0,0
5,27,0,2,2,0,1,76,6,2,0,4,4,0,0,240,2,135.0,1,2,8,0,0,0
17,27,0,3,2,0,1,51,3,1,0,5,5,0,0,250,2,133.0,0,1,8,0,0,0
93,27,0,3,2,0,1,76,5,2,0,0,2,0,0,115,0,58.95,0,0,8,0,0,0
3,27,0,3,2,0,2,135,6,2,0,0,0,0,0,240,2,136.33,0,2,7,0,0,1
10,27,0,2,2,2,1,169,6,2,0,6,7,0,0,240,2,153.0,1,0,8,0,0,0
3,27,0,2,2,0,1,51,6,2,0,0,2,0,0,240,2,110.5,0,0,8,0,0,0
51,27,0,2,2,0,1,133,6,2,0,3,3,0,0,242,2,97.0,0,0,8,0,0,0
71,27,0,2,3,0,1,135,5,2,0,0,0,0,0,242,2,110.3,0,2,7,0,0,1
63,27,0,2,2,0,1,135,6,2,0,0,0,0,0,240,2,82.0,0,2,7,0,0,1
62,27,0,2,2,0,1,135,6,2,0,3,3,0,0,240,2,97.0,0,1,8,0,0,1
101,27,0,2,2,0,1,135,6,2,0,0,0,0,0,240,2,73.8,0,1,7,0,0,1
2,27,0,2,2,0,2,135,5,2,0,0,0,0,0,3,2,91.5,0,0,8,0,0,0
15,27,0,2,2,0,1,51,6,2,0,0,0,0,0,240,2,114.5,0,0,8,0,0,0
51,27,0,2,3,0,1,135,6,2,0,0,0,0,0,242,2,110.3,0,0,7,0,0,1
3,27,1,2,2,0,1,51,6,2,0,0,0,0,0,240,2,90.9,1,0,8,0,0,0
48,27,1,2,2,0,1,135,6,2,0,4,4,0,0,240,2,123.0,0,0,6,0,0,1
2,27,2,2,1,0,1,135,6,2,0,0,0,0,0,240,2,122.0,0,0,8,0,0,0
72,27,2,2,2,0,1,43,5,2,0,0,0,0,0,105,2,110.7,1,0,8,0,0,0
81,27,2,6,3,0,1,135,5,2,0,3,3,0,0,5,2,85.86,0,0,8,0,0,0
99,27,2,7,2,0,1,56,5,2,0,0,0,0,0,40,0,58.95,0,0,8,0,0,0
368,27,3,7,2,0,1,135,5,2,0,0,0,0,0,40,0,55.68,0,0,6,0,0,1
364,27,3,7,2,0,1,59,5,2,0,0,0,0,0,40,0,55.68,0,0,8,0,0,0
81,27,3,7,2,0,2,135,3,1,0,0,0,2,0,250,2,124.0,0,1,7,0,0,1
99,27,3,7,2,0,2,59,5,2,0,4,4,0,0,115,0,111.15,0,0,8,0,0,0
324,27,4,10,2,0,2,59,5,2,0,4,4,0,0,40,0,134.73,0,0,8,0,0,0
69,27,4,10,2,0,1,59,6,2,0,5,5,1,0,241,2,92.45,0,1,8,0,0,0
79,27,6,15,2,1,1,135,5,2,0,0,0,0,0,242,2,108.73,0,2,5,0,0,1
12,27,0,1,2,0,1,59,6,2,0,0,2,0,0,240,2,73.8,0,0,8,0,0,0
9,27,0,1,2,0,1,135,6,2,0,0,2,0,0,240,2,98.0,1,2,8,0,0,0
1,27,0,1,2,0,1,51,6,2,0,0,2,0,0,240,2,131.0,0,1,8,0,0,0
21,27,0,1,2,0,1,135,6,2,0,4,4,0,0,240,2,123.0,0,0,8,0,0,0
9,27,0,1,2,0,1,169,6,2,0,2,2,0,0,241,2,94.71,0,0,8,0,0,0
109,27,0,1,2,0,1,15,6,2,0,0,0,0,0,240,2,123.0,0,2,8,0,0,0
109,27,0,2,2,0,1,135,6,2,0,0,0,0,0,240,2,123.0,0,1,6,0,0,1
72,27,0,2,2,0,1,135,6,2,0,0,0,0,0,240,2,73.8,0,1,7,0,0,1
63,27,2,5,2,0,1,135,6,2,0,5,5,0,0,242,2,117.0,0,1,6,0,0,1
63,27,2,5,3,0,2,51,5,2,0,4,4,0,0,105,2,196.54,0,1,8,0,0,0
101,27,2,5,2,1,1,135,6,2,0,3,3,0,0,240,2,99.3,1,2,8,0,0,0
102,27,2,5,2,0,1,43,3,1,0,4,4,0,0,250,2,90.95,0,0,8,0,0,0
4,27,2,1,2,0,1,51,3,1,0,0,2,0,0,250,2,92.67,0,1,8,0,0,0
98,27,2,1,2,0,1,56,5,2,0,3,3,0,0,8,2,71.55,1,0,8,0,0,0
92,27,2,4,1,2,1,56,5,2,0,5,5,0,0,241,2,96.49,0,2,8,0,0,0
95,27,2,4,2,0,1,135,6,2,0,0,2,0,0,240,2,85.8,1,2,8,0,0,0
102,27,2,5,2,0,1,135,6,2,0,4,4,0,0,240,2,96.3,0,1,8,0,0,0
26,27,2,5,2,2,1,135,6,2,0,7,7,0,0,240,2,163.0,0,0,7,0,0,1
73,27,2,5,3,0,2,135,3,1,0,3,3,0,0,250,2,172.0,0,1,6,0,0,1
102,27,2,5,2,0,1,135,6,2,0,0,0,0,0,240,2,110.7,0,1,5,0,0,1
115,27,2,5,2,0,1,135,5,2,0,0,0,0,0,134,2,58.95,0,1,8,0,0,0
102,27,2,5,2,0,1,135,6,2,0,0,0,0,0,240,2,73.8,0,2,8,0,0,0
86,27,2,5,2,0,1,29,6,2,0,3,3,0,0,240,2,97.0,0,2,8,0,0,0
78,27,2,5,2,0,2,135,6,2,0,4,5,0,0,240,2,139.0,0,2,8,0,0,0
52,27,2,5,2,0,1,59,6,2,0,0,0,0,0,147,2,67.24,0,0,8,0,0,0
29,27,2,6,3,0,1,135,6,2,0,4,4,0,0,241,2,116.5,0,1,8,0,0,0
101,27,2,6,2,0,1,135,6,2,0,4,4,0,0,240,2,96.3,0,1,6,0,0,1
109,27,2,6,2,0,1,135,6,2,0,0,0,0,0,240,2,123.0,0,1,8,0,0,0
92,27,4,6,2,0,1,59,5,2,0,3,3,0,0,40,0,71.55,0,1,8,0,0,0
92,27,4,6,2,0,1,135,5,2,0,3,3,0,0,40,0,71.55,0,1,8,0,0,0
79,27,4,6,2,1,2,135,3,1,0,3,3,1,0,250,2,149.0,0,1,8,0,0,0
2,27,0,1,2,2,1,135,6,2,0,7,6,1,0,240,2,163.0,1,0,8,0,0,0
30,27,0,1,2,0,1,135,5,2,0,3,2,0,0,8,0,79.5,0,0,8,0,0,0
51,27,0,1,1,0,2,135,6,2,0,0,0,0,0,240,2,105.0,0,0,6,0,0,1
36,27,0,1,1,0,1,135,3,1,0,4,6,1,0,250,2,123.0,0,0,8,0,0,1
73,27,0,1,2,0,1,135,6,2,0,0,0,0,0,240,2,73.8,0,2,6,0,0,1
33,27,0,1,2,0,1,135,6,2,0,3,3,0,0,240,2,113.0,0,0,7,0,0,1
32,27,0,1,4,0,3,135,1,1,0,7,7,2,0,0,2,0.0,0,1,8,0,0,0
8,27,0,1,2,0,1,51,6,2,0,4,4,0,0,240,2,123.0,0,0,8,0,0,0
100,27,1,1,2,0,1,56,6,2,0,0,2,0,0,240,3,73.8,1,1,8,0,0,0
1,27,1,1,2,0,1,135,6,2,0,0,0,0,0,240,2,114.5,0,0,8,0,0,0
100,27,1,1,2,0,1,56,6,2,0,0,0,0,0,240,3,73.8,0,2,8,0,0,0
100,27,1,1,2,0,1,56,6,2,0,0,2,0,0,240,3,73.8,0,1,8,0,0,0
9,28,1,0,2,0,1,51,6,2,0,0,2,0,0,240,2,88.2,0,1,8,1,0,0
5,28,1,0,2,0,1,135,6,2,0,3,3,0,0,240,2,97.0,0,0,8,1,0,1
0,28,1,0,2,0,1,51,6,2,0,0,2,1,0,306,2,85.1,0,0,8,1,0,0
9,28,1,0,1,0,1,43,6,2,0,0,0,0,0,184,2,89.0,0,0,8,1,0,0
2,28,1,0,1,0,1,135,6,2,0,0,3,0,0,240,2,80.1,0,0,8,1,0,0
2,28,1,0,2,0,1,135,6,2,0,0,4,0,0,240,2,98.0,0,0,8,1,0,0
